Country Name,Country Code,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
St. Kitts and Nevis,KNA,,,7420,302278,34590,12585339,10761053,7944481,4863483,5702669,6842005,,,,,,
"Korea, Rep.",KOR,1.07E+11,1.11E+11,1.04E+11,1.32E+11,1.34E+11,1.31E+11,1.43E+11,1.49E+11,1.47E+11,1.36E+11,1.67E+11,1.93E+11,1.54E+11,1.63E+11,2.04E+11,2.10E+11,
Kuwait,KWT,,,,127947715,131447310,,97598779,5504359,4071885,3815330,5445869,231418445,26496306,30598853,33548389,23822001,54309594
Latin America & Caribbean (excluding high income),LAC,,,,,,,,,,,,,,,,,
Lao PDR,LAO,,,,19433467,21093610,11789240,45042419,153548987,298095207,275176770,389702557,467981187,229427362,235751311,109835608,,
Lebanon,LBN,51312506,77065641,161873523,605196865,61167596,44885450,49912501,46483050,37657222,38914218,45983340,39532007,65240726,76215638,43838265,323842671,98096541
Liberia,LBR,,,,,,,,,,,35034938,9816795,1141739,3035,961787,859787,97955
Libya,LBY,,,,,,,,,,,,,1125922,,,,
St. Lucia,LCA,,,,,,1513358,2882323,2100682,2083157,4560981,3921940,9947111,5341840,2887310,,,
Latin America & Caribbean,LCN,,,,,,,,,,,,,,,,,
Least developed countries: UN classification,LDC,,,,,,,,,,,,,,,,,
Low income,LIC,,,,,,,,,,,,,,,,,
Liechtenstein,LIE,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,,103072721,46943092,62430443,71718329,60090878,72418950,71136595,63227842,67493927,79028241,,90992885,83151264,94328328,103356170,112381343
Lower middle income,LMC,,,,,,,,,,,,,,,,,
Low & middle income,LMY,,,,,,,,,,,,,,,,,
Lesotho,LSO,,,,,,,,,817863,3060332,1008052,434789,1323583,237290,535475,666218,
Late-demographic dividend,LTE,,,,,,,,,,,,,,,,,
Lithuania,LTU,1277430699,1548661446,961430531,1263210387,1582168096,1712696458,1907236937,2092945195,1919844678,1962936712,2317776578,2516321201,2527082809,2619281589,3107242456,3618309366,3740035230
Luxembourg,LUX,1411416358,1146735631,1044211102,963101610,1136384437,925505869,743286957,679505046,702205301,811598442,623101763,858272049,790998624,618381650,806654895,820151287,801169826
Latvia,LVA,356103096,430112106,374743451,430956978,633818057,777101185,1082132640,1329551397,1291461256,1203265197,1413241527,1879359261,1469867603,1837827506,1946947495,2031294038,2076324272
"Macao SAR, China",MAC,0,0,0,0,0,0,0,38294,0,0,4766535,0,0,0,0,0,0
St. Martin (French part),MAF,,,,,,,,,,,,,,,,,
Morocco,MAR,,,,,,,,,564402063,602597980,691266526,836699067,1017946687,850002482,1132107354,1392530221,1723700823
Monaco,MCO,,,,,,,,,,,,,,,,,
Moldova,MDA,,,10339752,20486361,19854270,26511802,16758559,26537316,20726514,15491763,30060831,18848598,24947389,18904904,21773455,22595261,28885013
Madagascar,MDG,9295683,80367513,11497504,18882374,65670723,6916909,46778145,11096042,12823723,10870921,9810822,8235322,7250779,3274143,3063735,3306828,3982231
Maldives,MDV,,,,,,,,,,120,708,,,2793,10421,37875,646
Middle East & North Africa,MEA,,,,,,,,,,,,,,,,,
Mexico,MEX,,43764789930,38927526530,49221673862,52264964480,57555129440,58518033081,61566553721,60222704580,62489596572,69637771602,74827258646,75166404372,71010208559,74981570074,91195069526,81456744669
Marshall Islands,MHL,,,,,,,,,,,,,,,,,
Middle income,MIC,,,,,,,,,,,,,,,,,
North Macedonia,MKD,23250278,38587386,53493337,81123621,129992844,117340027,122676418,130746178,125087129,113781430,186205169,234169973,252769719,232386915,276603713,288192179,387658985
Mali,MLI,,3373034,,3204182,7320665,3974159,,,,10105788,3017420,10404137,11053681,,,,
Malta,MLT,1491152030,1346412378,1006410358,1185075425,1315205837,1272189923,1016402096,856958447,634073649,582916892,650667575,760310070,754560031,844223212,763239296,1015509185,1234225995
Myanmar,MMR,,,,58189,3743377,15467021,6071366,15846765,9486539,252834722,285995158,325332206,219420966,225716430,305581286,200938589,190414450
Middle East & North Africa (excluding high income),MNA,,,,,,,,,,,,,,,,,
Montenegro,MNE,,6277349,16652966,8629674,8063951,9889196,6909504,11118362,11848593,5165280,5133170,4246457,9697705,9960411,13067233,14413066,15199424
Mongolia,MNG,7109238,,,,,,22669722,33796542,3152908,35523918,3779196,6763247,39589731,3052935,25335204,51137809,
Northern Mariana Islands,MNP,,,,,,,,,,,,,,,,,
Mozambique,MOZ,,,,,,104748498,82425059,44098229,31400311,12215239,32332952,27233066,4329718,2250366,8017648,18227789,16632000
Mauritania,MRT,,,,,,,,,,44,,,3399,1190218,1380718,1093142,3637891
Mauritius,MUS,,102798711,22748807,6212760,9788104,10637134,6397088,354999,1289226,1053133,28412077,31292625,24299494,20091030,2679317,16986363,6408555
Malawi,MWI,,2124316,3765879,1802093,22804360,1663907,10906009,9986124,1895328,2983847,1072475,1170462,4011025,1317730,4625003,2422189,4133308
Malaysia,MYS,,,56043588431,66075248917,66767865284,66601865553,67098769337,70953123101,64470973254,63205038631,74126053407,90503212029,86902999434,92101649422,1.09E+11,1.37E+11,1.27E+11
North America,NAC,,,,,,,,,,,,,,,,,
Namibia,NAM,86882853,24463166,44986748,50571766,48214196,108461161,72391902,114166739,6257803,24272101,2162374,2888325,169247,181587,639994,764250,845964
New Caledonia,NCL,,5592597,141282997,6491337,160695822,85540786,99288066,137707109,38232165,,,,,,,,
Niger,NER,,,4864197,4573268,3285632,4737341,53489209,72921911,11881005,4109929,17744305,5845178,1838136,8771623,12797212,5924134,2603432
Nigeria,NGA,,,47289187,63081914,40538812,77755370,91782074,140225736,495095302,7388348,18315636,41645089,85424677,190326678,195947207,76668152,65160240
Nicaragua,NIC,5557883,8213328,7447275,6223783,7559400,4344649,7424951,9951105,11891363,17029801,12612402,14953054,24126467,9890059,30355921,37239155,22949838
Netherlands,NLD,83812029231,78409728585,67945347790,77595336626,86024475895,81513741828,80936819220,84488370148,69778885270,71059988656,77793879014,85620091095,87057975323,87232912188,1.01E+11,98441621634,1.11E+11
Norway,NOR,4446013282,5404015530,4893704319,4943819869,5379991584,5157077194,5372322266,5698284176,5035663952,4312063971,4265636721,4318612767,4610745766,4069222591,4733483567,5351662717,5957981536
Nepal,NPL,,,2526185,4313163,2783697,816353,1912532,4401482,2850013,4241552,5993524,3263597,5285142,9513473,6433383,3815787,
Nauru,NRU,,,,,,,,,,,,,,,,,
New Zealand,NZL,666691693,638301208,521238449,616514283,729698249,762196446,775321384,699116173,657060269,640136073,564057385,605401280,572755338,589049116,673724583,826243764,823527942
OECD members,OED,,,,,,,,,,,,,,,,,
Oman,OMN,,,,,,167104199,159946801,230872195,138986749,50129889,48362452,73302556,77192098,589224440,662031837,784366169,441801906
Other small states,OSS,,,,,,,,,,,,,,,,,
Pakistan,PAK,,279153357,233461231,268289997,324894440,316859945,354220539,264492176,266537589,311291838,360255508,374563536,396194498,309393322,318590723,329716126,384348995
Panama,PAN,,1108988,900031,696662,1430455,464508,50963,231391,457,822563,182494,88765,255848,694221,333800,333696,1339544
Peru,PER,,121648831,121323413,427994492,322873522,355039046,355131400,206108972,302441321,186687352,211714389,210905058,179192646,172740806,222582995,263430270,264161339
Philippines,PHL,,,,,,,,,,,33502538621,33903662791,35825986531,34896354090,38194465821,41726956647,37090950135
Palau,PLW,,,,,,,,1144672,2231245,3509603,1277066,401590,,,,,
Papua New Guinea,PNG,,,,,65906268,15613328,,,,,,,46982983,61780229,86295937,,
Poland,POL,4362127682,7363448740,7803885489,9591093862,9700758960,10728842468,13662050275,16757316984,16502308101,16888118842,18837376641,21763148628,19830978892,19970865152,23837274338,28739310787,29592130553
Pre-demographic dividend,PRE,,,,,,,,,,,,,,,,,
Puerto Rico,PRI,,,,,,,,,,,,,,,,,
"Korea, Dem. People's Rep.",PRK,,,,,,,,,,,,,,,,,
Portugal,PRT,3502617645,3575493699,1617971205,1498647775,1830313490,1919376035,2135835442,2314872279,2095894950,2457361282,2816256592,2978019017,3594840031,3366105196,3561400342,4255453752,4196056729
Paraguay,PRY,26187347,39796552,40885859,41672586,59113184,56616781,66156748,62065735,50417840,60873341,62253533,102336649,76176090,54397925,103189077,179235119,162697885
West Bank and Gaza,PSE,3416667,4747147,6979502,11226657,696891,1128720,376541,1101491,5860647,4340427,4292150,6243919,6637323,11992939,14531924,12160336,
Pacific island small states,PSS,,,,,,,,,,,,,,,,,
Post-demographic dividend,PST,,,,,,,,,,,,,,,,,
French Polynesia,PYF,,,11329679,6154933,20494065,2388577,8787972,20716843,11000066,36375902,15891381,12182965,30906026,5106597,23343057,9877273,1514715
Qatar,QAT,,,950861,,112596,63779825,50968303,33371,96835993,62631,292250,155450581,122141,466395732,147790556,270331668,245655998
Romania,ROU,1426932274,2632265882,3349425457,4856879314,5673719716,3649892920,3679011313,4471798730,4436062615,5254489145,5558598945,6636993376,6994471752,6984619201,8026993060,8531975344,9724366747
Russian Federation,RUS,4336664850,5491417754,4780780606,5291117660,5753483733,7731024109,9223725735,10431810993,11478187273,11237691896,10385740894,10107859553,10783402806,6567475904,10598637533,,
Rwanda,RWA,,,14886450,1238517,3358273,1097405,2392667,6763641,8666022,5547310,3552188,3510626,6910595,5221136,9522923,6797226,
South Asia,SAS,,,,,,,,,,,,,,,,,
Saudi Arabia,SAU,131262705,180686088,210190656,202105315,213847737,258048046,289615029,254738828,278134035,421285338,261725661,252696058,270579690,217407449,158436056,,3641055220
Sudan,SDN,,,,,,6500,1401074,1230308,1014184,1526016,549176,869554,,,,,
Senegal,SEN,,48947206,105118316,14627178,9078755,8594912,11616694,14570001,28135985,23026460,18853043,28155690,9427038,7556051,26333300,37258335,22544982
Singapore,SGP,1.10E+11,1.24E+11,99697714507,1.32E+11,1.32E+11,1.36E+11,1.43E+11,1.45E+11,1.39E+11,1.35E+11,1.47E+11,1.55E+11,1.50E+11,1.60E+11,1.92E+11,2.14E+11,1.97E+11
Solomon Islands,SLB,,,,,,,,,193415,525542,305203,171263,,,,,
Sierra Leone,SLE,,,,,,,,2251,553,1150,1349,379079,,,,,
El Salvador,SLV,188505755,200722855,177794297,235605824,238654078,225446747,227691500,226164854,208807068,223937538,251239528,277843373,230311118,228122461,348626313,414452908,296585304
San Marino,SMR,,,,,,,,,,,,,,,,,
Somalia,SOM,,,,,,,,,,,,,,,,,
Serbia,SRB,264518037,318687315,294006497,309560624,326761179,462575930,439359785,450081838,392491901,408738236,399853208,463875160,514413657,710934754,927101298,1087552014,1358732901
Sub-Saharan Africa (excluding high income),SSA,,,,,,,,,,,,,,,,,
South Sudan,SSD,,,,,,,,,,,,,,,,,
Sub-Saharan Africa,SSF,,,,,,,,,,,,,,,,,
Small states,SST,,,,,,,,,,,,,,,,,
Sao Tome and Principe,STP,,,,,4359,101787,117701,4081,222420,739677,386566,1332857,191951,139614,78068,15026,70979
Suriname,SUR,,,,5516346,5886909,11673958,4466089,7305535,2471125,2519616,3001093,1169001,2914166,2807564,5291087,29030501,5300351
Slovak Republic,SVK,2685615368,3057611776,3058542733,4117586378,5015333938,6429707770,8084068922,8401870343,7465236079,7474395968,8807968041,8973435760,8049156331,7860143292,8421902423,7989914994,10122798808
Slovenia,SVN,1322363319,1647932996,1331688478,1259925784,1499878902,1492657882,1586846781,1622650470,1552490057,1672142442,1755022210,2091045196,2333300643,2542920750,2476347678,3924918658,4206749873
Sweden,SWE,21938427989,23713778281,18595606024,22906423844,25829989917,22170259994,21883049806,21308037662,18916107685,18699490249,17107877138,17178539228,17422272463,17731149372,18973178383,23544889099,25152736881
Eswatini,SWZ,,2364954,2067521,2320779,1367686,698635,1162950,1063575,2771688,2250765,3620940,11447254,3567569,3747606,4198951,3985543,3576837
Sint Maarten (Dutch part),SXM,,,,,,,,,,,,,,,,,
Seychelles,SYC,,,,,,,3577815,2061796,1372918,1062096,35294430,5531342,1946698,1315183,784869,8462099,711
Syrian Arab Republic,SYR,,86642890,47278461,38812401,,,,,,,,,,,,,
Turks and Caicos Islands,TCA,,,,,142047,208171,,,,,,,,,,,
Chad,TCD,,,,,,,,,,,,,,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,,,,,,,,,,,,,,,,,
Europe & Central Asia (IDA & IBRD countries),TEC,,,,,,,,,,,,,,,,,
Togo,TGO,,97773,255620,164313,855900,681561,938952,531884,3127071,289271,3202737,337247,198643,915082,1274941,1239758,2229077
Thailand,THA,32633216169,33562601078,30093421406,37220309522,36145343805,37417929887,37098695791,38451617301,38817555616,39029549638,43935559396,44754206998,43957436600,45815361315,50016560454,53769309657,54112421409
Tajikistan,TJK,,,,,,,,,,42447877,23657211,7128213,7874133,1554883,734896,3026694,
Turkmenistan,TKM,,,,,,,,,,,,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,,,,,,,,,,,,,,,,,
Timor-Leste,TLS,,,,,,,,,,,,,,,,,
Middle East & North Africa (IDA & IBRD countries),TMN,,,,,,,,,,,,,,,,,
Tonga,TON,,0,8644,242,1439,152707,56676,28003,,,,,,,,,
South Asia (IDA & IBRD),TSA,,,,,,,,,,,,,,,,,
Sub-Saharan Africa (IDA & IBRD countries),TSS,,,,,,,,,,,,,,,,,
Trinidad and Tobago,TTO,60964395,36208243,3466997,2859229,6476135,32895103,10354187,6111216,5633308,5563408,6571219,5465716,10677515,4512408,5248961,6251561,
Tunisia,TUN,,768243968,744466250,999336267,1085024422,854246053,801060250,871478331,838436577,871067168,850828851,828929551,840506111,832607036,959678980,1041437024,1198528314
Turkiye,TUR,1883247744,1963946211,1587951755,1943401874,2202177883,2327323000,3782775017,4293034117,3872189201,3421690692,4069123083,3735743019,4280255330,4172760165,5715371245,6906506415,8461609431
Tuvalu,TUV,,,,,,,,,,,,,,,,,
Tanzania,TZA,,16576002,19092797,28334815,43178785,99499785,50138761,28115055,9429192,17985730,16954704,186259360,9216395,18387069,14675348,17578118,43110701
Uganda,UGA,,5462128,3640910,6764101,153400859,177482058,9213750,11575196,9706303,8458426,8123723,19620087,15782091,11773219,17816471,,
Ukraine,UKR,,,,,1932450185,2647760449,2234806486,1990020494,1494839137,1123013376,1213593921,1213122591,1165833595,1175961260,1283624066,888066464,728946823
Upper middle income,UMC,,,,,,,,,,,,,,,,,
Uruguay,URY,49306192,82005246,81823095,116183374,136348947,198244859,193922905,178779702,273945030,153433874,129215276,120520508,115769162,113936601,132818761,185880308,188475643
United States,USA,2.41E+11,2.43E+11,1.51E+11,1.66E+11,1.67E+11,1.69E+11,1.69E+11,1.76E+11,1.75E+11,1.74E+11,1.55E+11,1.54E+11,1.54E+11,1.42E+11,1.69E+11,1.92E+11,2.09E+11
Uzbekistan,UZB,,,,,,,,,,,39348767,12132374,20474819,42220494,15074495,83976163,200637379
St. Vincent and the Grenadines,VCT,,,44381,8505,1400,2654,11120,2093,0,186,55,111,1120027,0,146,191441,535939
"Venezuela, RB",VEN,,,,,,,,,,,,,,,,,
British Virgin Islands,VGB,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),VIR,,,,,,,,,,,,,,,,,
Viet Nam,VNM,,3016805392,3533883638,6069554443,11709409219,21346437527,32759478692,36376040130,47524790042,55216909912,74114052667,82611228668,90430194116,1.02E+11,1.20E+11,1.36E+11,
Vanuatu,VUT,,,,,,,,,,,,,,,,,
World,WLD,,,,,,,,,,,,,,,,,
Samoa,WSM,,,183567,591648,365806,114963,210850,429830,148078,171154,74642,142119,105678,,53764,36152,396638
Kosovo,XKX,,,,,,,,,,,,,,,,,
"Yemen, Rep.",YEM,,,382625,398148,678968,584721,2668283,1319726,3030318,,,,,,,,
South Africa,ZAF,1933150392,2089264358,1483141300,2498966663,2745990089,2861275747,2615633129,2807326935,2810596503,2398089362,2198581396,2091970957,1833309591,1835319303,2418464070,2494861682,2215402355
Zambia,ZMB,,4001399,4979110,2600041,11889970,46122333,16747925,18101351,29388136,182881125,36185168,25103534,21464462,10714229,10218867,8748554,14668136
Zimbabwe,ZWE,,58984637,7586439,9504795,8976852,20208296,18935955,12120906,11810010,13725165,11180300,9709358,27782789,8275259,4788223,7822102,10554661
